Quantitativi di rifiuti speciali esportati per regione - 2023 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2023;         202.780;         203.554;         406.333;
VALLE D'AOSTA;2023;             477;           4.046;           4.523;
LOMBARDIA;2023;         807.278;         944.760;       1.752.038;
TRENTINO ALTO ADIGE;2023;         213.893;          24.222;         238.114;
VENETO;2023;         540.716;         150.595;         691.311;
FRIULI VENEZIA GIULIA;2023;         377.485;          39.039;         416.523;
LIGURIA;2023;          58.787;          26.639;          85.426;
EMILIA ROMAGNA;2023;         228.135;         206.508;         434.642;
TOSCANA;2023;         201.980;          79.354;         281.334;
UMBRIA;2023;           3.181;           9.671;          12.852;
MARCHE;2023;          61.319;          22.562;          83.881;
LAZIO;2023;         152.782;          21.919;         174.700;
ABRUZZO;2023;          47.198;          12.626;          59.824;
MOLISE;2023;          28.756;               0;          28.756;
CAMPANIA;2023;         284.828;          50.219;         335.048;
PUGLIA;2023;         236.155;           6.926;         243.081;
BASILICATA;2023;          13.531;               0;          13.531;
CALABRIA;2023;          43.350;          11.427;          54.777;
SICILIA;2023;          82.288;           1.204;          83.492;
SARDEGNA;2023;          98.016;           1.542;          99.557;
Italia;2023;       3.682.933;       1.816.812;       5.499.745;

Quantitativi di rifiuti speciali esportati per Paese di destinazione - 2023 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2023;           1.564,3;               5,6;           1.569,9;
ALBANIA;2023;           1.227,6;               0,0;           1.227,6;
ANDORRA;2023;               0,0;               0,1;               0,1;
ANGOLA;2023;              36,4;               0,0;              36,4;
AUSTRIA;2023;         508.642,0;         191.967,0;         700.609,0;
BELGIO;2023;          56.473,0;          56.554,1;         113.027,1;
BOSNIA-ERZEGOVINA;2023;           6.106,2;               0,0;           6.106,2;
BRASILE;2023;           7.181,6;               0,0;           7.181,6;
BULGARIA;2023;         104.310,0;          44.152,1;         148.462,2;
CANADA;2023;              52,4;               0,0;              52,4;
CINA;2023;             432,6;               0,0;             432,6;
CIPRO;2023;          90.761,8;               0,0;          90.761,8;
COREA DEL SUD;2023;           1.275,1;               0,0;           1.275,1;
CROAZIA;2023;         113.030,0;           2.759,2;         115.789,2;
DANIMARCA;2023;         194.450,2;          25.216,2;         219.666,4;
EGITTO;2023;             543,1;               0,0;             543,1;
EIRE;2023;               0,2;               0,0;               0,2;
EMIRATI ARABI UNITI;2023;           2.259,4;              20,0;           2.279,4;
ESTONIA;2023;             109,4;               0,0;             109,4;
FILIPPINE;2023;              43,9;               0,0;              43,9;
FINLANDIA;2023;          10.269,5;               0,0;          10.269,5;
FRANCIA;2023;         109.541,1;         196.396,7;         305.937,8;
GERMANIA;2023;         427.748,1;         762.097,2;       1.189.845,3;
GHANA;2023;               0,0;             547,2;             547,2;
GIAPPONE;2023;           6.549,8;               0,0;           6.549,8;
GRECIA;2023;         165.869,8;           5.244,7;         171.114,6;
HONG KONG;2023;              27,7;               0,0;              27,7;
INDIA;2023;         146.638,1;               0,0;         146.638,1;
INDONESIA;2023;          23.571,9;               0,0;          23.571,9;
IRAN;2023;             294,4;               0,0;             294,4;
LAOS;2023;           1.681,4;               0,0;           1.681,4;
LETTONIA;2023;          13.125,2;             168,2;          13.293,4;
LITUANIA;2023;             207,3;               0,0;             207,3;
LUSSEMBURGO;2023;              91,5;             173,9;             265,4;
MACEDONIA;2023;             104,1;               0,0;             104,1;
MALESIA;2023;           5.496,8;               0,0;           5.496,8;
MALTA;2023;              15,9;              12,0;              27,9;
MAROCCO;2023;           2.500,3;               3,6;           2.503,9;
NORVEGIA;2023;           1.045,8;           7.669,9;           8.715,7;
PAESI BASSI;2023;         246.314,0;         164.232,0;         410.546,0;
PAKISTAN;2023;          42.741,3;               0,0;          42.741,3;
POLONIA;2023;          84.523,4;           2.159,0;          86.682,4;
PORTOGALLO;2023;           9.740,8;           2.756,6;          12.497,4;
QATAR;2023;              61,8;               0,0;              61,8;
REGNO UNITO;2023;           8.685,7;              37,6;           8.723,3;
REPUBBLICA CECA;2023;          88.494,2;             308,8;          88.803,0;
ROMANIA;2023;          13.499,6;           7.921,8;          21.421,5;
SERBIA E MONTENEGRO;2023;           1.038,0;               0,0;           1.038,0;
SINGAPORE;2023;             462,0;               0,0;             462,0;
SLOVACCHIA;2023;         111.270,9;           4.909,3;         116.180,2;
SLOVENIA;2023;         231.082,8;           7.800,9;         238.883,8;
SPAGNA;2023;         232.351,2;         103.247,1;         335.598,3;
SVEZIA;2023;          67.651,4;         186.134,9;         253.786,4;
SVIZZERA;2023;          48.938,2;          39.581,2;          88.519,3;
TAIWAN;2023;           2.709,7;               0,0;           2.709,7;
THAILANDIA;2023;          25.360,9;               0,0;          25.360,9;
TUNISIA;2023;              38,5;               0,0;              38,5;
TURCHIA;2023;         188.610,9;               0,0;         188.610,9;
UNGHERIA;2023;         220.604,0;           4.734,6;         225.338,6;
URUGUAY;2023;              21,6;               0,0;              21,6;
USA;2023;          52.469,2;               0,0;          52.469,2;
VIETNAM;2023;           2.985,5;               0,0;           2.985,5;
TOTALE;;       3.682.933,5;       1.816.811,6;       5.499.745,1;
		
Andamento delle esportazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2023;       5.499.745,1;
2022;       4.848.844,9;
2021;       3.908.854,8;
2020;       3.634.198,0;
2019;       3.942.406,1;
2018;       3.475.285,8;

