Quantitativi di rifiuti speciali esportati per regione - 2022 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2022;         184.349;         229.801;         414.150;
VALLE D'AOSTA;2022;             415;           4.486;           4.901;
LOMBARDIA;2022;         648.261;         646.453;       1.294.714;
TRENTINO ALTO ADIGE;2022;         162.218;          24.716;         186.934;
VENETO;2022;         442.416;         155.022;         597.438;
FRIULI VENEZIA GIULIA;2022;         426.800;          32.029;         458.830;
LIGURIA;2022;           8.103;          16.714;          24.817;
EMILIA ROMAGNA;2022;         219.205;         144.338;         363.543;
TOSCANA;2022;         150.909;          81.257;         232.166;
UMBRIA;2022;           2.612;          10.432;          13.045;
MARCHE;2022;          45.472;          21.735;          67.208;
LAZIO;2022;         181.799;           4.367;         186.166;
ABRUZZO;2022;          46.100;          15.477;          61.577;
MOLISE;2022;           6.001;               0;           6.001;
CAMPANIA;2022;         228.584;          49.659;         278.244;
PUGLIA;2022;         335.299;           2.745;         338.045;
BASILICATA;2022;           7.927;               0;           7.927;
CALABRIA;2022;         117.905;          13.331;         131.237;
SICILIA;2022;          50.208;             524;          50.732;
SARDEGNA;2022;         129.035;           2.137;         131.172;
Italia;2022;       3.393.621;       1.455.224;       4.848.845;

Quantitativi di rifiuti speciali esportati per Paese di destinazione - 2022 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2022;               4,5;               3,8;               8,3;
ALBANIA;2022;           1.273,6;               0,0;           1.273,6;
ARABIA SAUDITA;2022;              20,7;               0,0;              20,7;
AUSTRALIA;2022;             118,9;               0,0;             118,9;
AUSTRIA;2022;         466.219,5;         134.273,7;         600.493,2;
BELGIO;2022;          35.878,9;          36.898,7;          72.777,6;
BOSNIA-ERZEGOVINA;2022;          10.173,4;               0,0;          10.173,4;
BRASILE;2022;             191,5;               0,0;             191,5;
BULGARIA;2022;          55.625,5;          22.319,5;          77.945,0;
CANADA;2022;             114,4;               0,0;             114,4;
CINA;2022;             153,1;               0,0;             153,1;
CIPRO;2022;          57.378,7;               0,0;          57.378,7;
COREA DEL SUD;2022;           2.486,9;               0,0;           2.486,9;
CROAZIA;2022;         128.805,0;           2.831,4;         131.636,3;
DANIMARCA;2022;         270.403,0;          25.358,8;         295.761,8;
EGITTO;2022;             529,9;               0,0;             529,9;
EMIRATI ARABI UNITI;2022;              49,7;               0,0;              49,7;
ESTONIA;2022;              79,6;               0,0;              79,6;
FEDERAZIONE RUSSA;2022;             364,8;               0,0;             364,8;
FILIPPINE;2022;              24,3;               0,0;              24,3;
FINLANDIA;2022;             514,9;               0,0;             514,9;
FRANCIA;2022;         176.666,0;         211.857,6;         388.523,6;
GERMANIA;2022;         292.517,4;         684.646,8;         977.164,1;
GIAPPONE;2022;          11.143,3;               0,0;          11.143,3;
GRECIA;2022;         145.613,7;             493,3;         146.107,0;
HONG KONG;2022;             292,1;               0,0;             292,1;
INDIA;2022;         117.171,4;               0,0;         117.171,4;
INDONESIA;2022;           7.741,4;               0,0;           7.741,4;
ISRAELE;2022;           7.871,5;               0,0;           7.871,5;
LAOS;2022;             423,7;               0,0;             423,7;
LETTONIA;2022;           6.060,9;             337,9;           6.398,8;
LIBANO;2022;              35,0;               0,0;              35,0;
LITUANIA;2022;             490,4;               0,0;             490,4;
LUSSEMBURGO;2022;              31,8;               0,0;              31,8;
MALESIA;2022;           3.289,5;               0,0;           3.289,5;
MAROCCO;2022;             249,5;               0,0;             249,5;
NORVEGIA;2022;             924,2;           2.946,3;           3.870,5;
OMAN;2022;             223,4;               0,0;             223,4;
PAESI BASSI;2022;          93.984,8;          74.497,5;         168.482,2;
PAKISTAN;2022;          58.387,3;               0,0;          58.387,3;
POLONIA;2022;          85.896,7;             820,3;          86.717,1;
PORTOGALLO;2022;          64.422,2;          18.532,0;          82.954,2;
QATAR;2022;               3,5;               0,0;               3,5;
REGNO UNITO;2022;          45.928,6;               0,0;          45.928,6;
REPUBBLICA CECA;2022;          79.059,8;              15,0;          79.074,8;
ROMANIA;2022;          16.690,7;           3.437,7;          20.128,3;
SERBIA E MONTENEGRO;2022;           1.053,2;               0,1;           1.053,3;
SINGAPORE;2022;           2.386,3;               0,0;           2.386,3;
SLOVACCHIA;2022;         115.753,7;           5.861,5;         121.615,2;
SLOVENIA;2022;         262.228,4;           3.108,1;         265.336,5;
SPAGNA;2022;         236.756,2;         103.805,6;         340.561,8;
SURINAME;2022;               0,4;               1,6;               2,1;
SVEZIA;2022;          39.345,8;          88.930,7;         128.276,5;
SVIZZERA;2022;          26.404,6;          30.337,5;          56.742,0;
TAIWAN;2022;           3.159,9;               0,0;           3.159,9;
THAILANDIA;2022;          15.806,2;               0,0;          15.806,2;
TURCHIA;2022;         192.961,3;               0,0;         192.961,3;
UCRAINA;2022;             144,2;               0,0;             144,2;
UNGHERIA;2022;         220.370,9;           3.909,0;         224.279,9;
URUGUAY;2022;              62,3;               0,0;              62,3;
USA;2022;          30.447,2;               0,0;          30.447,2;
VIETNAM;2022;           1.210,7;               0,0;           1.210,7;
TOTALE;;       3.393.620,7;       1.455.224,2;       4.848.844,9;
		
Andamento delle esportazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2022;       4.848.844,9;
2021;       3.908.854,8;
2020;       3.634.198,0;
2019;       3.942.406,1;
2018;       3.475.285,8;

