istat_comune;comune;provincia;numero_comuni;popolazione;crt;cts;crd;ctr;csl;cc;ck;ctot
19084001;Agrigento;Agrigento;1;55.317;14,73;26,47;69,71;42,16;22,14;56,91;57,64;289,76
19084007;Caltabellotta;Agrigento;1;3.148;7,86;20,88;38,38;42,34;18,49;23,45;25,95;177,35
19084008;Camastra;Agrigento;1;1.992;9,28;15,01;60,57;7,73;18,48;62,37;82,21;255,65
19084009;Cammarata;Agrigento;1;5.837;13,40;10,96;62,93;25,50;9,87;10,48;6,06;140,40
19084010;Campobello di Licata;Agrigento;1;9.022;23,92;25,59;57,68;28,15;30,75;71,51;39,90;277,50
19084011;Canicatti;Agrigento;1;34.447;10,12;33,28;53,86;15,55;12,75;33,32;19,29;178,16
19084016;Comitini;Agrigento;1;846;14,64;22,60;77,29;12,96;9,50;42,84;29,54;209,38
19084017;Favara;Agrigento;1;31.451;28,96;41,51;48,06;13,39;42,25;35,94;10,56;220,68
19084018;Grotte;Agrigento;1;5.140;10,27;14,14;32,18;19,91;6,78;75,36;12,72;171,37
19084021;Licata;Agrigento;1;34.189;24,01;74,29;27,22;4,48;28,02;47,45;35,51;240,99
19084023;Menfi;Agrigento;1;11.817;43,88;33,84;65,03;7,35;2,78;23,66;;176,55
19084027;Palma di Montechiaro;Agrigento;1;21.336;63,67;65,17;10,61;;31,84;20,17;12,00;208,40
19084029;Racalmuto;Agrigento;1;7.531;7,13;23,38;38,45;17,77;14,72;80,76;15,47;197,67
19084030;Raffadali;Agrigento;1;11.855;10,41;26,35;54,71;9,79;14,97;30,86;6,34;153,43
19084035;San Biagio Platani;Agrigento;1;2.829;25,87;23,38;120,53;41,83;;18,84;;247,81
19084037;Santa Elisabetta;Agrigento;1;2.184;17,63;17,04;63,15;33,09;11,83;14,26;43,31;200,31
19084038;Santa Margherita di Belice;Agrigento;1;5.958;57,77;25,47;12,66;26,99;0,24;;;123,12
19084040;Santo Stefano Quisquina;Agrigento;1;3.998;11,95;23,95;62,07;31,99;6,34;31,63;1,90;169,83
19084041;Sciacca;Agrigento;1;38.712;14,13;30,39;57,59;45,24;11,82;25,01;15,64;199,81
01006001;Acqui Terme;Alessandria;1;18.955;22,77;14,43;89,28;20,50;24,04;40,82;24,07;237,50
01006002;Albera Ligure;Alessandria;1;297;42,11;64,83;17,83;17,23;;31,03;23,15;249,09
01006003;Alessandria;Alessandria;1;91.936;34,72;51,12;28,30;12,07;32,63;42,93;12,31;217,51
01006005;Alice Bel Colle;Alessandria;1;668;22,67;14,36;88,89;20,41;23,93;40,64;23,96;236,46
01006192;Alluvioni Piovera;Alessandria;1;1.617;11,00;12,10;44,64;17,49;8,05;26,08;29,62;155,91
01006007;Altavilla Monferrato;Alessandria;1;394;12,76;15,13;33,45;23,63;11,73;39,19;26,06;161,95
01006008;Alzano Scrivia;Alessandria;1;359;11,47;13,04;71,76;18,06;1,16;34,16;15,90;171,29
01006009;Arquata Scrivia;Alessandria;1;6.283;29,73;49,79;22,01;15,47;4,44;22,95;23,12;189,74
01006010;Avolasca;Alessandria;1;254;33,77;56,05;13,37;14,90;;17,15;86,78;258,16
01006012;Basaluzzo;Alessandria;1;2.031;17,99;17,71;74,90;25,06;;11,81;24,80;179,26
01006013;Bassignana;Alessandria;1;1.563;12,63;8,67;50,63;17,39;16,42;34,93;17,76;158,42
01006014;Belforte Monferrato;Alessandria;1;499;22,15;14,03;86,85;19,94;23,38;39,71;23,41;231,02
01006015;Bergamasco;Alessandria;1;677;11,66;10,17;33,15;23,56;25,57;36,34;15,81;156,27
01006016;Berzano di Tortona;Alessandria;1;159;26,77;45,70;10,60;12,15;;32,55;19,09;169,32
01006017;Bistagno;Alessandria;1;1.717;23,03;14,59;90,29;20,73;24,31;41,28;24,34;240,19
01006018;Borghetto di Borbera;Alessandria;1;1.919;28,11;59,63;28,13;15,85;8,35;31,69;21,56;217,78
01006019;Borgoratto Alessandrino;Alessandria;1;544;12,67;15,50;33,65;20,64;31,17;27,74;6,58;147,96
01006021;Bosco Marengo;Alessandria;1;2.205;12,84;29,41;30,45;14,59;7,73;26,73;23,31;145,08
01006022;Bosio;Alessandria;1;1.042;22,56;14,29;88,45;20,31;23,81;40,44;23,84;235,29
01006024;Brignano-Frascata;Alessandria;1;410;34,26;53,27;13,83;14,16;8,52;28,51;28,89;211,47
