Quantitativi di rifiuti speciali esportati per regione - 2019 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2019;         135.318;         138.740;         274.058;
VALLE D'AOSTA;2019;           1.799;           3.799;           5.599;
LOMBARDIA;2019;         666.639;         525.838;       1.192.477;
TRENTINO ALTO ADIGE;2019;         113.347;          19.342;         132.690;
VENETO;2019;         436.905;         175.633;         612.538;
FRIULI VENEZIA GIULIA;2019;         351.625;          22.226;         373.851;
LIGURIA;2019;          19.044;           2.562;          21.605;
EMILIA ROMAGNA;2019;         159.673;         134.967;         294.640;
TOSCANA;2019;          95.873;          84.446;         180.319;
UMBRIA;2019;          14.840;           7.155;          21.994;
MARCHE;2019;          27.238;          11.474;          38.713;
LAZIO;2019;         145.156;           5.346;         150.502;
ABRUZZO;2019;          44.483;           9.118;          53.601;
MOLISE;2019;             460;             286;             746;
CAMPANIA;2019;         302.756;          15.221;         317.977;
PUGLIA;2019;         157.132;               0;         157.132;
BASILICATA;2019;           2.501;               0;           2.501;
CALABRIA;2019;          35.359;           8.427;          43.786;
SICILIA;2019;          20.244;             850;          21.094;
SARDEGNA;2019;          16.337;          30.247;          46.584;
Italia;2019;       2.746.728;       1.195.679;       3.942.406;

Quantitativi di rifiuti speciali esportati per Paese di destinazione - 2019 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2019;             240,8;               4,0;             244,9;
ALBANIA;2019;             709,0;               0,0;             709,0;
ANDORRA;2019;             667,7;               0,0;             667,7;
ANGOLA;2019;              89,6;               0,0;              89,6;
ANTIGUA E BARBUDA;2019;             905,7;               0,0;             905,7;
AUSTRIA;2019;         346.067,9;          96.502,9;         442.570,7;
BANGLADESH;2019;           1.497,4;               0,0;           1.497,4;
BELGIO;2019;          70.670,0;          34.144,9;         104.814,9;
BIELORUSSIA;2019;              22,2;               0,0;              22,2;
BOSNIA-ERZEGOVINA;2019;           4.357,9;               0,0;           4.357,9;
