Quantitativi di rifiuti speciali esportati per regione - 2020 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
CROAZIA;2020;          61.846,8;             969,3;          62.816,1;
DANIMARCA;2020;          21.501,9;          23.085,7;          44.587,5;
EGITTO;2020;             183,0;               0,0;             183,0;
EIRE;2020;               1,6;               0,0;               1,6;
EMIRATI ARABI UNITI;2020;             151,6;               0,0;             151,6;
FEDERAZIONE RUSSA;2020;           1.761,5;               0,0;           1.761,5;
FIJI;2020;              19,2;               0,0;              19,2;
FILIPPINE;2020;             562,5;               0,0;             562,5;
FINLANDIA;2020;           2.059,8;               0,0;           2.059,8;
FRANCIA;2020;          57.885,4;         198.439,5;         256.324,8;
GAMBIA;2020;              50,6;               0,0;              50,6;
GERMANIA;2020;         261.812,1;         555.033,0;         816.845,1;
GIAPPONE;2020;           8.899,7;               0,0;           8.899,7;
GRECIA;2020;          46.388,2;           2.540,9;          48.929,0;
HONG KONG;2020;          18.532,2;               0,0;          18.532,2;
INDIA;2020;          47.222,6;               0,0;          47.222,6;
INDONESIA;2020;          22.329,7;               0,0;          22.329,7;
ISRAELE;2020;          25.186,4;               0,0;          25.186,4;
LAOS;2020;              65,6;               0,0;              65,6;
LETTONIA;2020;          15.709,1;               0,0;          15.709,1;
LIECHTENSTEIN;2020;              45,4;               0,0;              45,4;
LITUANIA;2020;              88,9;               0,0;              88,9;
MACEDONIA;2020;              47,0;               0,0;              47,0;
MALESIA;2020;          34.041,9;               0,0;          34.041,9;
MESSICO;2020;              48,0;               0,0;              48,0;
NORVEGIA;2020;             930,7;          20.781,8;          21.712,5;
NUOVA ZELANDA;2020;              11,0;               0,0;              11,0;
PAESI BASSI;2020;          50.936,1;          54.827,9;         105.764,0;
PAKISTAN;2020;          70.147,3;               0,0;          70.147,3;
POLONIA;2020;          46.450,4;           1.124,7;          47.575,1;
PORTOGALLO;2020;          40.071,6;          35.144,4;          75.216,0;
QATAR;2020;          23.486,3;               0,0;          23.486,3;
REGNO UNITO;2020;           4.722,9;               0,0;           4.722,9;
REPUBBLICA CECA;2020;          71.240,1;               0,0;          71.240,1;
ROMANIA;2020;          21.505,2;           3.565,3;          25.070,4;
SERBIA E MONTENEGRO;2020;           1.527,1;               0,1;           1.527,2;
SINGAPORE;2020;           1.413,8;               0,0;           1.413,8;
SLOVACCHIA;2020;          71.771,8;           5.555,4;          77.327,2;
SLOVENIA;2020;         188.219,7;           7.855,9;         196.075,6;
SPAGNA;2020;         122.622,7;          94.338,1;         216.960,8;
SRI LANKA;2020;               0,3;               0,0;               0,3;
SURINAME;2020;               0,1;               0,0;               0,1;
SVEZIA;2020;          11.547,9;          24.769,9;          36.317,8;
SVIZZERA;2020;          69.839,3;          60.279,0;         130.118,3;
TAIWAN;2020;           6.045,8;               0,0;           6.045,8;
THAILANDIA;2020;           9.906,2;               0,0;           9.906,2;
TUNISIA;2020;           7.909,4;               0,0;           7.909,4;
TURCHIA;2020;         197.985,2;               0,0;         197.985,2;
TUVALU;2020;              94,8;               0,0;              94,8;
UCRAINA;2020;              23,3;               0,0;              23,3;
UGANDA;2020;              23,9;               0,0;              23,9;
UNGHERIA;2020;         258.829,6;           1.558,0;         260.387,6;
USA;2020;           1.030,0;              66,8;           1.096,8;
VIETNAM;2020;           7.775,4;               0,0;           7.775,4;
TOTALE;;       2.398.533,9;       1.235.664,1;       3.634.198,0;
		
Andamento delle esportazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2020;       3.634.198,0;
2019;       3.942.406,1;
2018;       3.475.285,8;

