Quantitativi di rifiuti speciali esportati per regione - 2021 (ISPRA);
	Regione;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
PIEMONTE;2021;         138.357;         165.322;         303.679;
VALLE D'AOSTA;2021;             309;           5.068;           5.377;
LOMBARDIA;2021;         607.204;         592.027;       1.199.231;
TRENTINO ALTO ADIGE;2021;         142.326;          22.751;         165.076;
VENETO;2021;         417.591;         159.277;         576.868;
FRIULI VENEZIA GIULIA;2021;         373.159;          35.849;         409.008;
LIGURIA;2021;           2.979;           4.033;           7.013;
EMILIA ROMAGNA;2021;         180.921;         131.627;         312.548;
TOSCANA;2021;         102.978;          64.970;         167.947;
UMBRIA;2021;           7.663;          11.480;          19.142;
MARCHE;2021;          40.188;          18.305;          58.492;
LAZIO;2021;          93.268;          21.666;         114.934;
ABRUZZO;2021;          23.002;           5.790;          28.792;
MOLISE;2021;           1.728;               0;           1.728;
CAMPANIA;2021;         209.398;          30.335;         239.733;
PUGLIA;2021;          94.422;           1.329;          95.751;
BASILICATA;2021;           9.362;               0;           9.362;
CALABRIA;2021;          39.369;          10.340;          49.709;
SICILIA;2021;          32.650;             412;          33.062;
SARDEGNA;2021;          97.766;          13.638;         111.403;
Italia;2021;       2.614.638;       1.294.217;       3.908.855;

Quantitativi di rifiuti speciali esportati per Paese di destinazione - 2021 (ISPRA);
	Paese;Anno;Rifiuti non pericolosi(t);Rifiuti pericolosi (t);Totale(t)
AFGHANISTAN;2021;             644,0;               4,5;             648,5;
ALBANIA;2021;             729,7;               0,4;             730,1;
ANGOLA;2021;              28,8;               0,0;              28,8;
AUSTRALIA;2021;           8.541,0;               0,0;           8.541,0;
AUSTRIA;2021;         366.096,7;         126.647,6;         492.744,3;
BELGIO;2021;          41.946,2;          34.684,3;          76.630,5;
BOSNIA-ERZEGOVINA;2021;           8.330,7;               0,0;           8.330,7;
BRASILE;2021;              54,3;               0,0;              54,3;
BULGARIA;2021;          19.548,9;          14.642,1;          34.191,0;
CANADA;2021;             287,1;               0,0;             287,1;
CILE;2021;               0,0;              29,7;              29,7;
CINA;2021;          31.395,4;               0,0;          31.395,4;
CIPRO;2021;          30.595,1;               0,0;          30.595,1;
COREA DEL SUD;2021;           1.557,9;               0,0;           1.557,9;
CROAZIA;2021;          87.097,4;           2.399,8;          89.497,2;
DANIMARCA;2021;          69.811,7;          28.158,4;          97.970,1;
EGITTO;2021;             322,7;               0,0;             322,7;
EIRE;2021;               0,4;               0,0;               0,4;
EMIRATI ARABI UNITI;2021;              24,4;               0,0;              24,4;
ESTONIA;2021;             170,3;               0,0;             170,3;
FEDERAZIONE RUSSA;2021;             115,3;               0,0;             115,3;
FILIPPINE;2021;              17,5;               0,0;              17,5;
FINLANDIA;2021;              60,3;               0,0;              60,3;
FRANCIA;2021;         106.894,4;         206.923,0;         313.817,3;
GERMANIA;2021;         249.369,9;         581.872,9;         831.242,8;
GIAPPONE;2021;           9.402,3;               0,0;           9.402,3;
GRECIA;2021;          93.497,5;           1.382,3;          94.879,9;
HONG KONG;2021;          18.721,8;               0,0;          18.721,8;
INDIA;2021;          72.255,1;               0,0;          72.255,1;
INDONESIA;2021;          11.233,4;               0,0;          11.233,4;
ISRAELE;2021;          29.411,6;               0,0;          29.411,6;
LETTONIA;2021;          18.172,0;               0,0;          18.172,0;
LITUANIA;2021;             703,4;               0,0;             703,4;
MACEDONIA;2021;              69,2;               0,0;              69,2;
MALESIA;2021;           8.398,9;               0,0;           8.398,9;
MALTA;2021;              10,5;               0,0;              10,5;
MAROCCO;2021;              48,3;               0,0;              48,3;
NORVEGIA;2021;             718,7;          31.350,0;          32.068,8;
PAESI BASSI;2021;          69.513,4;          48.838,0;         118.351,3;
PAKISTAN;2021;          63.018,1;               0,0;          63.018,1;
POLONIA;2021;          58.270,8;             301,9;          58.572,7;
PORTOGALLO;2021;           3.025,6;          19.334,5;          22.360,1;
QATAR;2021;               1,6;               0,0;               1,6;
REGNO UNITO;2021;           6.296,9;              77,2;           6.374,1;
REPUBBLICA CECA;2021;          87.564,1;              91,9;          87.656,1;
ROMANIA;2021;          15.600,7;           4.532,8;          20.133,5;
SERBIA E MONTENEGRO;2021;           1.266,8;               0,1;           1.266,9;
SINGAPORE;2021;             324,2;               0,0;             324,2;
SLOVACCHIA;2021;          94.862,2;           4.375,6;          99.237,8;
SLOVENIA;2021;         189.255,8;           8.671,8;         197.927,6;
SPAGNA;2021;         175.271,1;         112.677,2;         287.948,2;
SVEZIA;2021;          36.244,0;          29.976,3;          66.220,3;
SVIZZERA;2021;          33.681,4;          35.008,8;          68.690,2;
TAIWAN;2021;           5.434,3;               0,0;           5.434,3;
THAILANDIA;2021;           1.940,0;               0,0;           1.940,0;
TUNISIA;2021;              22,1;               0,0;              22,1;
TURCHIA;2021;         150.033,2;               0,0;         150.033,2;
UCRAINA;2021;              94,6;               0,0;              94,6;
UNGHERIA;2021;         334.150,6;           2.235,9;         336.386,5;
USA;2021;           1.759,6;               0,0;           1.759,6;
VIETNAM;2021;              43,6;               0,0;              43,6;
WALLIS E FUTUNA;2021;             680,5;               0,0;             680,5;
TOTALE;;       2.614.637,8;       1.294.217,0;       3.908.854,8;
		
Andamento delle esportazioni di rifiuti speciali (ISPRA);
	Anno;Quantitativo (t)
2021;       3.908.854,8;
2020;       3.634.198,0;
2019;       3.942.406,1;
2018;       3.475.285,8;

